address,full_address,Latitude,Longitude,dist_mrt,near_mrt
404 ANG MO KIO AVE 10 SINGAPORE,"404, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560407, Singapore",1.36166255,103.85477972903324,1.0874848557796457,ANG MO KIO MRT STATION
405 ANG MO KIO AVE 10 SINGAPORE,"405, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560405, Singapore",1.3615894,103.8537698834708,1.0391968148447137,ANG MO KIO MRT STATION
417 ANG MO KIO AVE 10 SINGAPORE,"417, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560417, Singapore",1.3649643500000002,103.85520591304936,0.836300196559726,ANG MO KIO MRT STATION
418 ANG MO KIO AVE 10 SINGAPORE,"418, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560418, Singapore",1.36496055,103.85404460496277,0.7446011776590056,ANG MO KIO MRT STATION
419 ANG MO KIO AVE 10 SINGAPORE,"419, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560419, Singapore",1.3653542500000002,103.85414666381952,0.7206828968513677,ANG MO KIO MRT STATION
441 ANG MO KIO AVE 10 SINGAPORE,"441, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560441, Singapore",1.3660604,103.85414159512987,0.6671000298394734,ANG MO KIO MRT STATION
442 ANG MO KIO AVE 10 SINGAPORE,"442, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560442, Singapore",1.3656539,103.85526058802556,0.7926060501489004,ANG MO KIO MRT STATION
443 ANG MO KIO AVE 10 SINGAPORE,"443, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560443, Singapore",1.36604965,103.85533986309922,0.7742968559219251,ANG MO KIO MRT STATION
444 ANG MO KIO AVE 10 SINGAPORE,"444, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560444, Singapore",1.3666067000000002,103.85560295709745,0.7670271474733853,ANG MO KIO MRT STATION
450 ANG MO KIO AVE 10 SINGAPORE,"450, Ang Mo Kio Avenue 10, Chong Boon Centre, Ang Mo Kio, Singapore, Central, 560450, Singapore",1.36848945,103.85547884390664,0.6774572932321782,ANG MO KIO MRT STATION
435 ANG MO KIO AVE 10 SINGAPORE,"435, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560435, Singapore",1.3676957,103.85422938005831,0.575785717790087,ANG MO KIO MRT STATION
433 ANG MO KIO AVE 10 SINGAPORE,"433, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560433, Singapore",1.36808575,103.85433288303888,0.5691341446329027,ANG MO KIO MRT STATION
434 ANG MO KIO AVE 10 SINGAPORE,"434, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560434, Singapore",1.36790095,103.85345464052526,0.48853813911262767,ANG MO KIO MRT STATION
424 ANG MO KIO AVE 3 SINGAPORE,"424, Ang Mo Kio Avenue 3, Chong Boon View, Ang Mo Kio, Singapore, Central, 560424, Singapore",1.368603,103.85082026935956,0.20384465773749366,ANG MO KIO MRT STATION
425 ANG MO KIO AVE 3 SINGAPORE,"425, Ang Mo Kio Avenue 3, Chong Boon View, Ang Mo Kio, Singapore, Central, 560425, Singapore",1.3691198,103.85153935638112,0.23807739424556912,ANG MO KIO MRT STATION
466 ANG MO KIO AVE 10 SINGAPORE,"466, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560466, Singapore",1.36581515,103.85710076709108,0.9553397361149306,ANG MO KIO MRT STATION
471 ANG MO KIO AVE 10 SINGAPORE,"471, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560471, Singapore",1.36351535,103.8567036832668,1.0677897292627874,ANG MO KIO MRT STATION
474 ANG MO KIO AVE 10 SINGAPORE,"474, Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560474, Singapore",1.3627691,103.85800778173828,1.2315876992170118,ANG MO KIO MRT STATION
570 ANG MO KIO AVE 3 SINGAPORE,"570, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560570, Singapore",1.3699069,103.85557041701033,0.6683561533370043,ANG MO KIO MRT STATION
586 ANG MO KIO AVE 3 SINGAPORE,"586, Ang Mo Kio Avenue 3, Cheng San Court, Ang Mo Kio, Singapore, Central, 560586, Singapore",1.37028155,103.85346240040484,0.4357443329057097,ANG MO KIO MRT STATION
455 ANG MO KIO AVE 10 SINGAPORE,"455, Ang Mo Kio Avenue 10, Teck Ghee Parkview, Ang Mo Kio, Singapore, Central, 560455, Singapore",1.3686668,103.85729787379776,0.8718212192416007,ANG MO KIO MRT STATION
465 ANG MO KIO AVE 10 SINGAPORE,"465, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560465, Singapore",1.3662228,103.85717530845224,0.9419043018757051,ANG MO KIO MRT STATION
463 ANG MO KIO AVE 10 SINGAPORE,"463, Ang Mo Kio Avenue 10, Teck Ghee Horizon, Ang Mo Kio, Singapore, Central, 560463, Singapore",1.36676925,103.85766861690962,0.9677899672606028,ANG MO KIO MRT STATION
